Census Tract,FIPS Code,Formatted FIPS,Median leverage ratio for all loans in 2016.
"06001409000, CA",6001409000,06001409000,3.19
"06001401700, CA",6001401700,06001401700,3.07
"06001408100, CA",6001408100,06001408100,3.11
"06001410000, CA",6001410000,06001410000,3.51
"06001400100, CA",6001400100,06001400100,3.01
"06001981900, CA",6001981900,06001981900,N/A
"06001404600, CA",6001404600,06001404600,3.31
"06001409900, CA",6001409900,06001409900,3.37
"06001404400, CA",6001404400,06001404400,3.04
"06001404502, CA",6001404502,06001404502,3.1
"06001404200, CA",6001404200,06001404200,3.16
"06001406000, CA",6001406000,06001406000,2.93
"06001407300, CA",6001407300,06001407300,3.59
"06001406100, CA",6001406100,06001406100,2.85
"06001408000, CA",6001408000,06001408000,3.08
"06001404300, CA",6001404300,06001404300,3.16
"06001409800, CA",6001409800,06001409800,3.47
"06001406700, CA",6001406700,06001406700,3.13
"06001982000, CA",6001982000,06001982000,3.13
"06001408300, CA",6001408300,06001408300,3.58
"06001405100, CA",6001405100,06001405100,3.09
"06001403400, CA",6001403400,06001403400,2.59
"06001409400, CA",6001409400,06001409400,3.37
"06001407800, CA",6001407800,06001407800,3.68
"06001404700, CA",6001404700,06001404700,2.85
"06001408800, CA",6001408800,06001408800,3.82
"06001401000, CA",6001401000,06001401000,3.79
"06001408700, CA",6001408700,06001408700,3.65
"06001404501, CA",6001404501,06001404501,3.23
"06001400300, CA",6001400300,06001400300,3.1
"06001407900, CA",6001407900,06001407900,3.4
"06001409300, CA",6001409300,06001409300,3.29
"06001408600, CA",6001408600,06001408600,3.91
"06001403300, CA",6001403300,06001403300,2.99
"06001407600, CA",6001407600,06001407600,3.63
"06001404900, CA",6001404900,06001404900,3.33
"06001407700, CA",6001407700,06001407700,3.57
"06001406800, CA",6001406800,06001406800,3
"06001408200, CA",6001408200,06001408200,3.81
"06001401100, CA",6001401100,06001401100,3.22
"06001400700, CA",6001400700,06001400700,3.47
"06001406900, CA",6001406900,06001406900,2.95
"06001407000, CA",6001407000,06001407000,3.31
"06001401300, CA",6001401300,06001401300,3.01
"06001405200, CA",6001405200,06001405200,2.87
"06001409500, CA",6001409500,06001409500,4.16
"06001408500, CA",6001408500,06001408500,3.94
"06001405000, CA",6001405000,06001405000,3.12
"06001409700, CA",6001409700,06001409700,3.56
"06001408900, CA",6001408900,06001408900,4.37
"06001410100, CA",6001410100,06001410100,3.65
"06001401400, CA",6001401400,06001401400,3.98
"06001406601, CA",6001406601,06001406601,3.48
"06001409600, CA",6001409600,06001409600,3.93
"06001406500, CA",6001406500,06001406500,3.41
"06001410500, CA",6001410500,06001410500,3.05
"06001409200, CA",6001409200,06001409200,3.7
"06001407200, CA",6001407200,06001407200,4.01
"06001402200, CA",6001402200,06001402200,3.33
"06001410400, CA",6001410400,06001410400,3.55
"06001400400, CA",6001400400,06001400400,3.19
"06001400800, CA",6001400800,06001400800,3.21
"06001401200, CA",6001401200,06001401200,2.94
"06001403501, CA",6001403501,06001403501,3.77
"06001407102, CA",6001407102,06001407102,3.45
"06001983200, CA",6001983200,06001983200,2.91
"06001403800, CA",6001403800,06001403800,3.07
"06001401600, CA",6001401600,06001401600,2.82
"06001404800, CA",6001404800,06001404800,3.43
"06001400200, CA",6001400200,06001400200,3.21
"06001400500, CA",6001400500,06001400500,3.04
"06001410200, CA",6001410200,06001410200,3.77
"06001410300, CA",6001410300,06001410300,3.88
"06001404101, CA",6001404101,06001404101,3.29
"06001406400, CA",6001406400,06001406400,3.15
"06001405700, CA",6001405700,06001405700,3
"06001408400, CA",6001408400,06001408400,4.11
"06001405800, CA",6001405800,06001405800,3.44
"06001407400, CA",6001407400,06001407400,3.7
"06001403900, CA",6001403900,06001403900,2.79
"06001407500, CA",6001407500,06001407500,4.06
"06001409100, CA",6001409100,06001409100,4.04
"06001405902, CA",6001405902,06001405902,4.32
"06001406300, CA",6001406300,06001406300,4.11
"06001401500, CA",6001401500,06001401500,3.11
"06001405901, CA",6001405901,06001405901,3.53
"06001405600, CA",6001405600,06001405600,3.37
"06001400900, CA",6001400900,06001400900,3.4
"06001406602, CA",6001406602,06001406602,3.82
"06001405500, CA",6001405500,06001405500,3.58
"06001406201, CA",6001406201,06001406201,3.02
"06001402700, CA",6001402700,06001402700,3.03
"06001402800, CA",6001402800,06001402800,2.94
"06001406202, CA",6001406202,06001406202,3.69
"06001403600, CA",6001403600,06001403600,3.11
"06001402900, CA",6001402900,06001402900,2.95
"06001404000, CA",6001404000,06001404000,2.84
"06001407101, CA",6001407101,06001407101,4.1
"06001402500, CA",6001402500,06001402500,3.05
"06001403000, CA",6001403000,06001403000,2.35
"06001403100, CA",6001403100,06001403100,2.9
"06001402400, CA",6001402400,06001402400,3.44
"06001402600, CA",6001402600,06001402600,2.7
"06001405401, CA",6001405401,06001405401,3.37
"06001401800, CA",6001401800,06001401800,3.21
"06001400600, CA",6001400600,06001400600,3.1
"06001405402, CA",6001405402,06001405402,2.96
"06001404102, CA",6001404102,06001404102,3.45
"06001405301, CA",6001405301,06001405301,2.95
"06001405302, CA",6001405302,06001405302,N/A
"06001403702, CA",6001403702,06001403702,3.05
"06001403502, CA",6001403502,06001403502,2.92
"06001403701, CA",6001403701,06001403701,3.19
