Census Tract,FIPS Code,Formatted FIPS,Estimated percent of all people who were Black between 2012-2016
"06001409000, CA",6001409000,06001409000,34.91
"06001401700, CA",6001401700,06001401700,23.96
"06001408100, CA",6001408100,06001408100,22.44
"06001410000, CA",6001410000,06001410000,44.29
"06001400100, CA",6001400100,06001400100,3.05
"06001981900, CA",6001981900,06001981900,0
"06001404600, CA",6001404600,06001404600,4.65
"06001409900, CA",6001409900,06001409900,46.94
"06001404400, CA",6001404400,06001404400,2.04
"06001404502, CA",6001404502,06001404502,4.9
"06001404200, CA",6001404200,06001404200,13.56
"06001406000, CA",6001406000,06001406000,17.81
"06001407300, CA",6001407300,06001407300,10.64
"06001406100, CA",6001406100,06001406100,8.6
"06001408000, CA",6001408000,06001408000,16.61
"06001404300, CA",6001404300,06001404300,5.59
"06001409800, CA",6001409800,06001409800,56.93
"06001406700, CA",6001406700,06001406700,11.39
"06001982000, CA",6001982000,06001982000,0
"06001408300, CA",6001408300,06001408300,42.17
"06001405100, CA",6001405100,06001405100,16.01
"06001403400, CA",6001403400,06001403400,22.27
"06001409400, CA",6001409400,06001409400,25.37
"06001407800, CA",6001407800,06001407800,30.56
"06001404700, CA",6001404700,06001404700,5.26
"06001408800, CA",6001408800,06001408800,29.93
"06001401000, CA",6001401000,06001401000,35.18
"06001408700, CA",6001408700,06001408700,43.16
"06001404501, CA",6001404501,06001404501,4.41
"06001400300, CA",6001400300,06001400300,11.57
"06001407900, CA",6001407900,06001407900,18.3
"06001409300, CA",6001409300,06001409300,29.8
"06001408600, CA",6001408600,06001408600,32.18
"06001403300, CA",6001403300,06001403300,9.64
"06001407600, CA",6001407600,06001407600,42.04
"06001404900, CA",6001404900,06001404900,10.59
"06001407700, CA",6001407700,06001407700,48.42
"06001406800, CA",6001406800,06001406800,11.63
"06001408200, CA",6001408200,06001408200,51.63
"06001401100, CA",6001401100,06001401100,17.01
"06001400700, CA",6001400700,06001400700,37.15
"06001406900, CA",6001406900,06001406900,19.88
"06001407000, CA",6001407000,06001407000,18.77
"06001401300, CA",6001401300,06001401300,32.7
"06001405200, CA",6001405200,06001405200,14.55
"06001409500, CA",6001409500,06001409500,30.27
"06001408500, CA",6001408500,06001408500,31.55
"06001405000, CA",6001405000,06001405000,11.08
"06001409700, CA",6001409700,06001409700,40.47
"06001408900, CA",6001408900,06001408900,27.76
"06001410100, CA",6001410100,06001410100,62.95
"06001401400, CA",6001401400,06001401400,39.44
"06001406601, CA",6001406601,06001406601,29.47
"06001409600, CA",6001409600,06001409600,26.95
"06001406500, CA",6001406500,06001406500,18.76
"06001410500, CA",6001410500,06001410500,63.83
"06001409200, CA",6001409200,06001409200,35.7
"06001407200, CA",6001407200,06001407200,10.38
"06001402200, CA",6001402200,06001402200,31.92
"06001410400, CA",6001410400,06001410400,40.28
"06001400400, CA",6001400400,06001400400,9.85
"06001400800, CA",6001400800,06001400800,31.55
"06001401200, CA",6001401200,06001401200,14.27
"06001403501, CA",6001403501,06001403501,24.6
"06001407102, CA",6001407102,06001407102,20.18
"06001983200, CA",6001983200,06001983200,8.04
"06001403800, CA",6001403800,06001403800,7.64
"06001401600, CA",6001401600,06001401600,32.81
"06001404800, CA",6001404800,06001404800,19.18
"06001400200, CA",6001400200,06001400200,0.56
"06001400500, CA",6001400500,06001400500,25.19
"06001410200, CA",6001410200,06001410200,47.15
"06001410300, CA",6001410300,06001410300,24.25
"06001404101, CA",6001404101,06001404101,5.52
"06001406400, CA",6001406400,06001406400,28.54
"06001405700, CA",6001405700,06001405700,32.83
"06001408400, CA",6001408400,06001408400,38.99
"06001405800, CA",6001405800,06001405800,24.29
"06001407400, CA",6001407400,06001407400,17.09
"06001403900, CA",6001403900,06001403900,17.45
"06001407500, CA",6001407500,06001407500,35.75
"06001409100, CA",6001409100,06001409100,42.21
"06001405902, CA",6001405902,06001405902,9.97
"06001406300, CA",6001406300,06001406300,15.81
"06001401500, CA",6001401500,06001401500,38.93
"06001405901, CA",6001405901,06001405901,20.96
"06001405600, CA",6001405600,06001405600,17.38
"06001400900, CA",6001400900,06001400900,32.8
"06001406602, CA",6001406602,06001406602,19.62
"06001405500, CA",6001405500,06001405500,18.59
"06001406201, CA",6001406201,06001406201,16.34
"06001402700, CA",6001402700,06001402700,36.22
"06001402800, CA",6001402800,06001402800,42.21
"06001406202, CA",6001406202,06001406202,10.7
"06001403600, CA",6001403600,06001403600,30.67
"06001402900, CA",6001402900,06001402900,20.55
"06001404000, CA",6001404000,06001404000,6.48
"06001407101, CA",6001407101,06001407101,14.36
"06001402500, CA",6001402500,06001402500,65.74
"06001403000, CA",6001403000,06001403000,4.39
"06001403100, CA",6001403100,06001403100,17.55
"06001402400, CA",6001402400,06001402400,57.55
"06001402600, CA",6001402600,06001402600,25.71
"06001405401, CA",6001405401,06001405401,17.93
"06001401800, CA",6001401800,06001401800,43.62
"06001400600, CA",6001400600,06001400600,35.88
"06001405402, CA",6001405402,06001405402,29.76
"06001404102, CA",6001404102,06001404102,11.16
"06001405301, CA",6001405301,06001405301,25.28
"06001405302, CA",6001405302,06001405302,14.53
"06001403702, CA",6001403702,06001403702,8.63
"06001403502, CA",6001403502,06001403502,20.33
"06001403701, CA",6001403701,06001403701,17.17
