Census Tract,FIPS Code,Formatted FIPS,Estimated typical (median) income of a household between 2012-20
"06001409000, CA",6001409000,06001409000,44125
"06001401700, CA",6001401700,06001401700,66308
"06001408100, CA",6001408100,06001408100,103670
"06001410000, CA",6001410000,06001410000,107083
"06001400100, CA",6001400100,06001400100,177417
"06001981900, CA",6001981900,06001981900,105714
"06001404600, CA",6001404600,06001404600,163322
"06001409900, CA",6001409900,06001409900,97689
"06001404400, CA",6001404400,06001404400,150074
"06001404502, CA",6001404502,06001404502,133068
"06001404200, CA",6001404200,06001404200,169519
"06001406000, CA",6001406000,06001406000,30909
"06001407300, CA",6001407300,06001407300,53214
"06001406100, CA",6001406100,06001406100,44485
"06001408000, CA",6001408000,06001408000,158917
"06001404300, CA",6001404300,06001404300,193523
"06001409800, CA",6001409800,06001409800,63598
"06001406700, CA",6001406700,06001406700,73167
"06001982000, CA",6001982000,06001982000,160417
"06001408300, CA",6001408300,06001408300,81695
"06001405100, CA",6001405100,06001405100,182153
"06001403400, CA",6001403400,06001403400,51172
"06001409400, CA",6001409400,06001409400,39189
"06001407800, CA",6001407800,06001407800,80368
"06001404700, CA",6001404700,06001404700,159107
"06001408800, CA",6001408800,06001408800,23598
"06001401000, CA",6001401000,06001401000,51073
"06001408700, CA",6001408700,06001408700,43649
"06001404501, CA",6001404501,06001404501,181484
"06001400300, CA",6001400300,06001400300,85313
"06001407900, CA",6001407900,06001407900,100927
"06001409300, CA",6001409300,06001409300,34830
"06001408600, CA",6001408600,06001408600,30696
"06001403300, CA",6001403300,06001403300,52246
"06001407600, CA",6001407600,06001407600,53300
"06001404900, CA",6001404900,06001404900,84375
"06001407700, CA",6001407700,06001407700,70938
"06001406800, CA",6001406800,06001406800,94167
"06001408200, CA",6001408200,06001408200,51135
"06001401100, CA",6001401100,06001401100,71205
"06001400700, CA",6001400700,06001400700,46424
"06001406900, CA",6001406900,06001406900,65556
"06001407000, CA",6001407000,06001407000,43125
"06001401300, CA",6001401300,06001401300,37123
"06001405200, CA",6001405200,06001405200,75417
"06001409500, CA",6001409500,06001409500,31682
"06001408500, CA",6001408500,06001408500,47841
"06001405000, CA",6001405000,06001405000,122237
"06001409700, CA",6001409700,06001409700,38357
"06001408900, CA",6001408900,06001408900,26379
"06001410100, CA",6001410100,06001410100,59239
"06001401400, CA",6001401400,06001401400,25985
"06001406601, CA",6001406601,06001406601,48467
"06001409600, CA",6001409600,06001409600,37349
"06001406500, CA",6001406500,06001406500,41346
"06001410500, CA",6001410500,06001410500,22596
"06001409200, CA",6001409200,06001409200,46250
"06001407200, CA",6001407200,06001407200,37319
"06001402200, CA",6001402200,06001402200,45400
"06001410400, CA",6001410400,06001410400,66555
"06001400400, CA",6001400400,06001400400,99539
"06001400800, CA",6001400800,06001400800,61111
"06001401200, CA",6001401200,06001401200,83208
"06001403501, CA",6001403501,06001403501,37032
"06001407102, CA",6001407102,06001407102,47660
"06001983200, CA",6001983200,06001983200,131250
"06001403800, CA",6001403800,06001403800,85313
"06001401600, CA",6001401600,06001401600,36544
"06001404800, CA",6001404800,06001404800,61875
"06001400200, CA",6001400200,06001400200,153125
"06001400500, CA",6001400500,06001400500,83650
"06001410200, CA",6001410200,06001410200,49200
"06001410300, CA",6001410300,06001410300,39524
"06001404101, CA",6001404101,06001404101,86635
"06001406400, CA",6001406400,06001406400,59500
"06001405700, CA",6001405700,06001405700,48851
"06001408400, CA",6001408400,06001408400,30213
"06001405800, CA",6001405800,06001405800,44375
"06001407400, CA",6001407400,06001407400,47656
"06001403900, CA",6001403900,06001403900,73125
"06001407500, CA",6001407500,06001407500,24869
"06001409100, CA",6001409100,06001409100,40000
"06001405902, CA",6001405902,06001405902,32833
"06001406300, CA",6001406300,06001406300,43307
"06001401500, CA",6001401500,06001401500,48903
"06001405901, CA",6001405901,06001405901,31607
"06001405600, CA",6001405600,06001405600,53063
"06001400900, CA",6001400900,06001400900,55691
"06001406602, CA",6001406602,06001406602,53162
"06001405500, CA",6001405500,06001405500,50225
"06001406201, CA",6001406201,06001406201,37336
"06001402700, CA",6001402700,06001402700,44792
"06001402800, CA",6001402800,06001402800,17363
"06001406202, CA",6001406202,06001406202,33583
"06001403600, CA",6001403600,06001403600,70600
"06001402900, CA",6001402900,06001402900,28854
"06001404000, CA",6001404000,06001404000,77065
"06001407101, CA",6001407101,06001407101,51691
"06001402500, CA",6001402500,06001402500,23693
"06001403000, CA",6001403000,06001403000,19490
"06001403100, CA",6001403100,06001403100,51184
"06001402400, CA",6001402400,06001402400,33724
"06001402600, CA",6001402600,06001402600,22955
"06001405401, CA",6001405401,06001405401,39712
"06001401800, CA",6001401800,06001401800,28185
"06001400600, CA",6001400600,06001400600,61597
"06001405402, CA",6001405402,06001405402,33555
"06001404102, CA",6001404102,06001404102,77303
"06001405301, CA",6001405301,06001405301,60928
"06001405302, CA",6001405302,06001405302,35638
"06001403702, CA",6001403702,06001403702,78266
"06001403502, CA",6001403502,06001403502,67672
"06001403701, CA",6001403701,06001403701,66086
