Census Tract,FIPS Code,Formatted FIPS,Estimated percent of all people who were Hispanic between 2012-2
"06001409000, CA",6001409000,06001409000,53.22
"06001401700, CA",6001401700,06001401700,31.43
"06001408100, CA",6001408100,06001408100,11.17
"06001410000, CA",6001410000,06001410000,6.36
"06001400100, CA",6001400100,06001400100,2.75
"06001981900, CA",6001981900,06001981900,0
"06001404600, CA",6001404600,06001404600,3.77
"06001409900, CA",6001409900,06001409900,14.73
"06001404400, CA",6001404400,06001404400,6.62
"06001404502, CA",6001404502,06001404502,8.13
"06001404200, CA",6001404200,06001404200,4.96
"06001406000, CA",6001406000,06001406000,10.07
"06001407300, CA",6001407300,06001407300,53.66
"06001406100, CA",6001406100,06001406100,61.49
"06001408000, CA",6001408000,06001408000,11.68
"06001404300, CA",6001404300,06001404300,10.75
"06001409800, CA",6001409800,06001409800,15.25
"06001406700, CA",6001406700,06001406700,13.44
"06001982000, CA",6001982000,06001982000,25.86
"06001408300, CA",6001408300,06001408300,20.92
"06001405100, CA",6001405100,06001405100,3.19
"06001403400, CA",6001403400,06001403400,8.62
"06001409400, CA",6001409400,06001409400,58.51
"06001407800, CA",6001407800,06001407800,16.48
"06001404700, CA",6001404700,06001404700,7.76
"06001408800, CA",6001408800,06001408800,54.52
"06001401000, CA",6001401000,06001401000,22.28
"06001408700, CA",6001408700,06001408700,49.69
"06001404501, CA",6001404501,06001404501,8.17
"06001400300, CA",6001400300,06001400300,7.37
"06001407900, CA",6001407900,06001407900,12.32
"06001409300, CA",6001409300,06001409300,60.05
"06001408600, CA",6001408600,06001408600,55.9
"06001403300, CA",6001403300,06001403300,7.6
"06001407600, CA",6001407600,06001407600,28.37
"06001404900, CA",6001404900,06001404900,11.46
"06001407700, CA",6001407700,06001407700,12.68
"06001406800, CA",6001406800,06001406800,14.36
"06001408200, CA",6001408200,06001408200,16.17
"06001401100, CA",6001401100,06001401100,11
"06001400700, CA",6001400700,06001400700,16.52
"06001406900, CA",6001406900,06001406900,13.89
"06001407000, CA",6001407000,06001407000,30.23
"06001401300, CA",6001401300,06001401300,12.73
"06001405200, CA",6001405200,06001405200,16.55
"06001409500, CA",6001409500,06001409500,60.72
"06001408500, CA",6001408500,06001408500,60.97
"06001405000, CA",6001405000,06001405000,7.7
"06001409700, CA",6001409700,06001409700,50.54
"06001408900, CA",6001408900,06001408900,60.52
"06001410100, CA",6001410100,06001410100,17.23
"06001401400, CA",6001401400,06001401400,27.87
"06001406601, CA",6001406601,06001406601,26.62
"06001409600, CA",6001409600,06001409600,63.82
"06001406500, CA",6001406500,06001406500,48.74
"06001410500, CA",6001410500,06001410500,8.25
"06001409200, CA",6001409200,06001409200,47.56
"06001407200, CA",6001407200,06001407200,68.77
"06001402200, CA",6001402200,06001402200,22.65
"06001410400, CA",6001410400,06001410400,43.43
"06001400400, CA",6001400400,06001400400,6.38
"06001400800, CA",6001400800,06001400800,12.01
"06001401200, CA",6001401200,06001401200,16.76
"06001403501, CA",6001403501,06001403501,12.02
"06001407102, CA",6001407102,06001407102,47.7
"06001983200, CA",6001983200,06001983200,15.73
"06001403800, CA",6001403800,06001403800,8.43
"06001401600, CA",6001401600,06001401600,22
"06001404800, CA",6001404800,06001404800,9.63
"06001400200, CA",6001400200,06001400200,10.77
"06001400500, CA",6001400500,06001400500,12.97
"06001410200, CA",6001410200,06001410200,38.65
"06001410300, CA",6001410300,06001410300,64.63
"06001404101, CA",6001404101,06001404101,6.78
"06001406400, CA",6001406400,06001406400,16.19
"06001405700, CA",6001405700,06001405700,23.72
"06001408400, CA",6001408400,06001408400,45.38
"06001405800, CA",6001405800,06001405800,20.37
"06001407400, CA",6001407400,06001407400,66.62
"06001403900, CA",6001403900,06001403900,4.04
"06001407500, CA",6001407500,06001407500,48.89
"06001409100, CA",6001409100,06001409100,40.18
"06001405902, CA",6001405902,06001405902,28.83
"06001406300, CA",6001406300,06001406300,31.2
"06001401500, CA",6001401500,06001401500,12.05
"06001405901, CA",6001405901,06001405901,36.48
"06001405600, CA",6001405600,06001405600,21.44
"06001400900, CA",6001400900,06001400900,11.67
"06001406602, CA",6001406602,06001406602,25.26
"06001405500, CA",6001405500,06001405500,11.87
"06001406201, CA",6001406201,06001406201,44.27
"06001402700, CA",6001402700,06001402700,22.84
"06001402800, CA",6001402800,06001402800,8.87
"06001406202, CA",6001406202,06001406202,63.89
"06001403600, CA",6001403600,06001403600,12.61
"06001402900, CA",6001402900,06001402900,12
"06001404000, CA",6001404000,06001404000,14.67
"06001407101, CA",6001407101,06001407101,47.48
"06001402500, CA",6001402500,06001402500,19.26
"06001403000, CA",6001403000,06001403000,1.77
"06001403100, CA",6001403100,06001403100,9.94
"06001402400, CA",6001402400,06001402400,8.55
"06001402600, CA",6001402600,06001402600,7.39
"06001405401, CA",6001405401,06001405401,24.74
"06001401800, CA",6001401800,06001401800,19.35
"06001400600, CA",6001400600,06001400600,9.51
"06001405402, CA",6001405402,06001405402,13.86
"06001404102, CA",6001404102,06001404102,8.94
"06001405301, CA",6001405301,06001405301,11.83
"06001405302, CA",6001405302,06001405302,20.11
"06001403702, CA",6001403702,06001403702,12.19
"06001403502, CA",6001403502,06001403502,8.27
"06001403701, CA",6001403701,06001403701,10.53
