Date,Class,Topic,Readings,Assignment,Project
28-Mar,Lecture,Intro to class. Intro to R,Handout 1,,
30-Mar,Lecture,Data analysis framework. Intro to R,,,
1-Apr,Lab,Intro to R,,,
4-Apr,Lecture,Data wrangling ,Handout 2,,
6-Apr,Lecture,Data wrangling in R,,HW 1,
8-Apr,Lab,Data wrangling in R,,,
11-Apr,Lecture,Intro to the U.S. Census,Handout 3,,
13-Apr,Lecture,Working with U.S. Census data in R,,HW 2,
15-Apr,Lab,Working with U.S. Census data in R,,,
18-Apr,Lecture,Exploratory data analysis,Handout 4,,
20-Apr,Lecture,Exploratory data analysis in R,,HW 3,
22-Apr,Lab,Exploratory data analysis in R,,,
25-Apr,Lecture,Intro to spatial data,Handout 5,,
27-Apr,Lecture,Spatial data in R,,HW 4,
29-Apr,Lab,Spatial data in R,,,
2-May,Lecture,Spatial autocorrelation,Handout 6,,
4-May,Lecture,Spatial autocorrelation in R,,HW 5,
6-May,Lab,Spatial autocorrelation in R,,,
9-May,Lecture,Measuring segregation,Handout 7,,
11-May,Lecture,Measuring gentrification,Handout 8,HW 6,
13-May,Lab,Segregation and gentrification in R,,,
16-May,Lecture,Big data and open data,Handout 9,,Proposal
18-May,Lecture,Mapping open data in R,,HW 7,
20-May,Lab,Mapping open data in R,,,
23-May,Lecture*,Guest Lecture,,,
25-May,Lecture,Story Maps using ArcGIS online,Lung-Amam & Dawkins (2019) ,HW 8,
27-May,Lab,Story Maps using ArcGIS online,,,
30-May,Lecture,"Holiday, no class",,,
1-Jun,Lecture,Final project in-class workshop,,,
8-Jun,,StoryMap due 12:00 pm,,,StoryMap
9-Jun,,StoryMap eval due 12:00 pm,,,StoryMap peer evals
